family,L,shape,kind,observer_id,analysis_role,is_primary_observer,observer_design_version,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_orientation,nearest_element_type,nearest_lattice_coefficients,nearest_total_translation,nearest_alpha_deg,nearest_theta_deg,nearest_sense,nearest_element_search_covered,n_candidates_d_lt_1,n_covered_candidates,exclusion_witness_exists,exclusion_witness_coset,exclusion_witness_sense,exclusion_witness_element_type,exclusion_witness_lattice_coefficients,exclusion_witness_translation,exclusion_witness_d,exclusion_witness_alpha_deg,exclusion_witness_theta_deg,exclusion_witness_search,exclusion_witness_source_boundary,reported_0p985_margin,operational_distance_margin,operational_alpha_margin_deg,geometry_margin,threshold_boundary,geometric_status,observational_status
E2,0.85,"{""Lx"": 0.85, ""Ly"": 0.85, ""Lz"": 0.85}",observer,2,primary_observer,True,pilot_v2_reduced,"[0.07150075549277313, 0.24162711619922894]","[0.060776, 0.205383, 0.629]",0.85,0.85,inf,id,preserving,translation,"[1, 0, 0]","[0.85, 0.0, 0.0]",31.78833061705162,180.0,anti_phased,True,8,8,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.85, 0.0, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E2,0.85,"{""Lx"": 0.85, ""Ly"": 0.85, ""Lz"": 0.85}",observer,3,primary_observer,True,pilot_v2_reduced,"[0.8951290935216393, 0.2514647338918028]","[0.76086, 0.213745, 0.629]",0.85,0.85,inf,id,preserving,translation,"[1, 0, 0]","[0.85, 0.0, 0.0]",31.78833061705162,180.0,anti_phased,True,8,8,True,id,anti_phased,translation,"[-1, 0, 0]","[-0.85, 0.0, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E2,0.85,"{""Lx"": 0.85, ""Ly"": 0.85, ""Lz"": 0.85}",anchor:half_turn_axis,-1,symmetry_anchor,False,anchor,"[0.0, 0.0]","[0.0, 0.0, 0.629]",0.85,0.85,inf,id,preserving,translation,"[1, 0, 0]","[0.85, 0.0, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,halfturn_B,anti_phased,screw,"[0, 0, -1]","[0.0, 0.0, -0.85]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E2,1.0,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}",observer,1,primary_observer,True,pilot_v2_reduced,"[0.2452274712376159, 0.3429926323318836]","[0.245227, 0.342993, 0.74]",1.0,1.0,inf,id,preserving,translation,"[1, 0, 0]","[1.0, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E2,1.0,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}",observer,2,primary_observer,True,pilot_v2_reduced,"[0.07150075549277313, 0.24162711619922894]","[0.071501, 0.241627, 0.74]",1.0,1.0,inf,id,preserving,translation,"[1, 0, 0]","[1.0, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E2,1.0,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}",observer,3,primary_observer,True,pilot_v2_reduced,"[0.8951290935216393, 0.2514647338918028]","[0.895129, 0.251465, 0.74]",1.0,1.0,inf,id,preserving,translation,"[1, 0, 0]","[1.0, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E2,1.0,"{""Lx"": 1.0, ""Ly"": 1.0, ""Lz"": 1.0}",anchor:half_turn_axis,-1,symmetry_anchor,False,anchor,"[0.0, 0.0]","[0.0, 0.0, 0.74]",1.0,1.0,inf,id,preserving,translation,"[1, 0, 0]","[1.0, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E2,1.2,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}",observer,1,primary_observer,True,pilot_v2_reduced,"[0.2452274712376159, 0.3429926323318836]","[0.294273, 0.411591, 0.888]",1.2,1.2,inf,id,preserving,translation,"[1, 0, 0]","[1.2, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.21499999999999997,0.21519224698779194,,0.19999999999999996,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.2,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}",observer,2,primary_observer,True,pilot_v2_reduced,"[0.07150075549277313, 0.24162711619922894]","[0.085801, 0.289953, 0.888]",1.2,1.2,inf,id,preserving,translation,"[1, 0, 0]","[1.2, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.21499999999999997,0.21519224698779194,,0.19999999999999996,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.2,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}",observer,3,primary_observer,True,pilot_v2_reduced,"[0.8951290935216393, 0.2514647338918028]","[1.074155, 0.301758, 0.888]",1.2,1.2,inf,id,preserving,translation,"[1, 0, 0]","[1.2, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.21499999999999997,0.21519224698779194,,0.19999999999999996,False,no_nondegenerate_circles,no_nondegenerate_circles
