case,quantile,s,P_ref,P_imhof,P_gilpelaez,gp_converged,gp_n,imhof_quad_err,imhof_warnings,abs_err_imhof,abs_err_gilpelaez,P_saddlepoint,mc_se,z_imhof,z_gilpelaez,imhof_vs_gilpelaez,imhof_vs_saddle
chi2_1,0.001,1.5707971492624921e-06,0.0010000000000000002,-4.8753415970992364e-08,0.0008907243415823274,False,6000000,9.970611304345153e-08,1,0.0010000487534159712,0.00010927565841767285,,,,,,
chi2_1,0.01,0.00015708785790970184,0.009999999999999995,0.009998368516032752,0.01000144279507198,False,6000000,1.659174337918522e-06,1,1.631483967243219e-06,1.4427950719847482e-06,,,,,,
chi2_1,0.05,0.003932140000019522,0.05,0.04999439893939073,0.05000002062815828,False,6000000,3.153467274563027e-06,1,5.6010606092754545e-06,2.0628158278745978e-08,,,,,,
chi2_1,0.5,0.454936423119572,0.4999999999999997,0.5000112156033601,0.5000000000504913,False,6000000,4.609126396000504e-06,1,1.121560336042604e-05,5.049155538117134e-11,,,,,,
chi2_1,0.95,3.841458820694124,0.9500000000000001,0.9503854923589219,0.9499999997171862,False,6000000,0.0005382984941283736,1,0.000385492358921824,2.8281388342321634e-10,,,,,,
chi2_1,0.99,6.6348966010212145,0.99,0.9908870429987408,0.9899999996283191,False,6000000,0.00041558963394473157,1,0.0008870429987407613,3.7168090827321976e-10,,,,,,
chi2_1,0.999,10.827566170662733,0.999,0.998405553239432,0.998999999525191,False,6000000,0.0002367304793084324,1,0.0005944467605679682,4.748089699191382e-10,,,,,,
scaled_chi2_5,0.001,0.4204252052584384,0.0010000000000000013,0.000999998049778239,0.0010000000000000009,True,1043039,6.190121716324224e-09,0,1.9502217622931195e-09,4.336808689942018e-19,0.0010120988903679108,,,,,
scaled_chi2_5,0.01,1.1085961534565545,0.01,0.010000000117378227,0.009999999999999898,True,1043039,6.508088745198372e-09,0,1.173782269298096e-10,1.0234868508263162e-16,0.010072096589614322,,,,,
scaled_chi2_5,0.05,2.2909524521235385,0.05000000000000001,0.04999999993943255,0.04999999999999999,True,1043039,6.4326997417694345e-09,0,6.056746076898989e-11,2.0816681711721685e-17,0.050190511998588296,,,,,
scaled_chi2_5,0.5,8.702920382191053,0.5000000000000001,0.4999999998396638,0.4999999999999999,True,1043039,4.6422610247922374e-09,0,1.6033629979261832e-10,2.220446049250313e-16,0.5000501977449485,,,,,
scaled_chi2_5,0.95,22.140995387032703,0.95,0.9499999841503521,0.95,True,2309391,4.715092518686655e-09,0,1.584964781642384e-08,0.0,0.9499131851743308,,,,,
scaled_chi2_5,0.99,30.17254493877798,0.99,0.9900000008804004,0.9899999999999998,True,3147112,7.2691762783728736e-09,0,8.804004192342063e-10,2.220446049250313e-16,0.9899714248705344,,,,,
scaled_chi2_5,0.999,41.030011304865745,0.999,0.9989999998987313,0.9989999999999999,True,4279587,8.676488138945954e-09,1,1.0126866012427627e-10,1.1102230246251565e-16,0.9989957903638668,,,,,
scaled_chi2_21,0.001,19.340029689651956,0.001,0.000999999999903578,0.0009999999999997233,True,1606,4.770389099124414e-09,0,9.642200232695686e-14,2.7668839441830073e-16,0.0010004178229381848,,,,,
scaled_chi2_21,0.01,26.69159382623165,0.010000000000000018,0.010000000000415454,0.009999999999999676,True,1606,3.814321481546666e-09,0,4.154367821973537e-13,3.41740524767431e-16,0.010002027130588452,,,,,
scaled_chi2_21,0.05,34.7739156264622,0.04999999999999986,0.049999999999474576,0.04999999999999971,True,1606,1.9219487758945756e-09,0,5.252812074196811e-13,1.457167719820518e-16,0.05000385672632769,,,,,
scaled_chi2_21,0.5,61.0116826906438,0.4999999999999999,0.49999999999977207,0.5000000000000004,True,1606,2.3583003140513904e-09,0,2.278177646530821e-13,5.551115123125783e-16,0.49998447155666537,,,,,
scaled_chi2_21,0.95,98.01172002275194,0.95,0.949999999918999,0.9500000000000002,True,2497,1.639444232771636e-09,0,8.100098369823172e-11,2.220446049250313e-16,0.9499903813228618,,,,,
scaled_chi2_21,0.99,116.79651805054822,0.99,0.9899999999988461,0.9900000000000001,True,2976,5.695093520587986e-09,0,1.1538547894929252e-12,1.1102230246251565e-16,0.9899970579822623,,,,,
