covariance,axis,corr_analytic,E_Sp_analytic,E_Sp_mc,E_Sp_se,z_E_Sp,E_Sm_analytic,E_Sm_mc,E_Sm_se,z_E_Sm,Var_Sp_analytic,Var_Sp_mc,Var_Sp_se,z_Var_Sp,Var_Sm_analytic,Var_Sm_mc,Var_Sm_se,z_Var_Sm,Cov_analytic,Cov_mc,Cov_se,z_Cov
fixed,1134,0.08410003922228848,893.8419320340618,893.8381857015142,0.3945846133501357,-0.009494370588097458,640.0662688805686,639.9986933868245,0.39321271304181,-0.17185480403565817,206800.37578445027,206676.1530019693,593.5005622295355,-0.20930524819439686,151810.79687071234,152048.10281666045,443.42039670599314,0.5351714709358749,14901.266782405351,14490.55623956799,200.470535208537,-2.048732709822543
fixed,777,0.11435886104792206,1001.3471045986265,1001.2256174596056,0.48493490172221987,-0.25052257238955844,585.8692755363609,586.0609996354422,0.2893374732394734,0.6626314142261196,263434.17452104896,263526.7936456544,716.8547020082675,0.12920208843711906,106275.20480216833,105912.49045528974,216.98228726394754,-1.6716311338232481,19134.708637624764,18991.121677362014,206.38595293286687,-0.6957206060891936
rotated_D(R),1134,0.08625783673992056,834.1358012196002,834.5053060284145,0.49015266829338355,0.7538565690170718,691.6548060034546,691.3275136394533,0.4294173401411208,-0.7621778009564404,176472.15095397562,176438.5889811707,431.2378260899748,-0.0778270614830482,178931.91439281232,178871.93580881585,398.7068716540503,-0.15043278222833686,15327.82580267685,15295.794444204239,148.88861517710072,-0.2151363852401409
rotated_D(R),777,0.11115326152071608,986.6711183942779,986.4948086739288,0.6849219544303257,-0.25741578176702584,624.254871528866,624.4668507172637,0.33627042816576314,0.630383080528178,275219.8877435783,275428.556949587,763.9586016632435,0.27314203355315436,136971.67734288884,136769.57855558879,279.0643835605075,-0.7242012926247761,21581.295150240654,21327.971460881046,243.4482165761267,-1.040564983068557
