family,size_id,L,point_index,is_frozen_anchor,observer_id,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_element_type,nearest_alpha_deg,nearest_theta_deg,n_candidates_d_lt_1,exclusion_witness_exists,geometric_status,observational_status,prior_weight,shape
E2,L1.20,1.2,8,False,8,"[0.30960000000000004, 0.8153]","[0.37152, 0.97836, 0.888]",1.2,1.2,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}"
E2,L1.20,1.2,9,False,9,"[0.0007, 0.9500000000000001]","[0.00084, 1.14, 0.888]",1.2,1.2,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}"
E2,L1.20,1.2,10,False,10,"[0.22590000000000002, 0.5924]","[0.27108, 0.71088, 0.888]",1.2,1.2,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}"
E2,L1.20,1.2,11,False,11,"[0.4058, 0.442]","[0.48696, 0.5304, 0.888]",1.2,1.2,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}"
E2,L1.50,1.5,0,True,0,"[0.2452274712376159, 0.3429926323318836]","[0.367841, 0.514489, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,1,True,1,"[0.07150075549277313, 0.24162711619922894]","[0.107251, 0.362441, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,2,True,2,"[0.8951290935216393, 0.2514647338918028]","[1.342694, 0.377197, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,3,False,3,"[0.46640000000000004, 0.9629000000000001]","[0.6996, 1.44435, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,4,False,4,"[0.4198, 0.6301]","[0.6297, 0.94515, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,5,False,5,"[0.1986, 0.0026000000000000003]","[0.2979, 0.0039, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,6,False,6,"[0.05, 0.5025000000000001]","[0.075, 0.75375, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,7,False,7,"[0.3522, 0.155]","[0.5283, 0.2325, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,8,False,8,"[0.30960000000000004, 0.8153]","[0.4644, 1.22295, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,9,False,9,"[0.0007, 0.9500000000000001]","[0.00105, 1.425, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,10,False,10,"[0.22590000000000002, 0.5924]","[0.33885, 0.8886, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E2,L1.50,1.5,11,False,11,"[0.4058, 0.442]","[0.6087, 0.663, 1.11]",1.5,1.5,inf,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}"
E7,L1.00,1.0,0,True,0,[0.11278702805018147],"[0.31, 0.112787, 0.42]",1.0,1.0,1.025126165301408,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
