map,band,Splus_old,Splus_new,abs_diff,rel_diff,tol,PASS
PR3_Commander,S2_4,39.67178834527284,39.67178834527284,0.0,0.0,1e-12,True
PR3_Commander,S5_8,99.72580340171903,99.72580340171903,0.0,0.0,1e-12,True
PR3_Commander,S9_16,73.8272172904252,73.8272172904252,0.0,0.0,1e-12,True
PR3_Commander,S17_32,9.683557331749668,9.683557331749668,0.0,0.0,1e-12,True
PR3_Commander,S33_64,0.0244794097633126,0.02447944494303926,3.517972665956215e-08,1.4371149876450927e-06,0.0001,True
PR3_NILC,S2_4,43.62813348623849,43.62813348623849,0.0,0.0,1e-12,True
PR3_NILC,S5_8,108.82821570585791,108.82821570585791,0.0,0.0,1e-12,True
PR3_NILC,S9_16,74.4515387335082,74.4515387335082,0.0,0.0,1e-12,True
PR3_NILC,S17_32,9.732727686249037,9.732727686249035,-1.7763568394002505e-15,1.8251377174663899e-16,1e-12,True
PR3_NILC,S33_64,0.0235152719399913,0.0235154699727341,1.9803274279792116e-07,8.421452377981491e-06,0.0001,True
PR3_SEVEM,S2_4,35.53177282197311,35.53177282197311,0.0,0.0,1e-12,True
PR3_SEVEM,S5_8,94.928398452578,94.92839845257801,1.4210854715202004e-14,1.4970077391857731e-16,1e-12,True
PR3_SEVEM,S9_16,77.65401764228227,77.65401764228227,0.0,0.0,1e-12,True
PR3_SEVEM,S17_32,10.280237602135514,10.280237602135514,0.0,0.0,1e-12,True
PR3_SEVEM,S33_64,0.0292535945136025,0.02925362863598149,3.4122378988338253e-08,1.1664337171444636e-06,0.0001,True
PR3_SMICA,S2_4,43.52361814595497,43.52361814595497,0.0,0.0,1e-12,True
PR3_SMICA,S5_8,108.72783539491472,108.72783539491472,0.0,0.0,1e-12,True
PR3_SMICA,S9_16,74.23099332009267,74.23099332009267,0.0,0.0,1e-12,True
PR3_SMICA,S17_32,9.607594253482436,9.607594253482437,1.7763568394002505e-15,1.848909094757389e-16,1e-12,True
PR3_SMICA,S33_64,0.0238050604667125,0.02380524157623321,1.8110952070687913e-07,7.6080260732851865e-06,0.0001,True
Nofi_70GHz,S2_4,42.49647113501039,42.49647113501039,0.0,0.0,1e-12,True
Nofi_70GHz,S5_8,103.4476634981754,103.4476634981754,0.0,0.0,1e-12,True
Nofi_70GHz,S9_16,70.55349981407024,70.55349981407024,0.0,0.0,1e-12,True
Nofi_70GHz,S17_32,9.417754724059783,9.417754724059783,0.0,0.0,1e-12,True
Nofi_70GHz,S33_64,0.0235928257342443,0.02359336561435858,5.398801142808551e-07,2.2883232401332703e-05,0.0001,True
Nofi_94GHz,S2_4,39.92750307311062,39.92750307311062,0.0,0.0,1e-12,True
Nofi_94GHz,S5_8,97.1278057348664,97.12780573486639,-1.4210854715202004e-14,1.463108798524074e-16,1e-12,True
Nofi_94GHz,S9_16,72.68537376449086,72.68537376449086,0.0,0.0,1e-12,True
Nofi_94GHz,S17_32,9.580916561551684,9.580916561551685,1.7763568394002505e-15,1.8540573106844378e-16,1e-12,True
Nofi_94GHz,S33_64,0.0238780702492611,0.02387853010667829,4.598574171905956e-07,1.9258567061332177e-05,0.0001,True
Nofi_100GHz,S2_4,39.99037915163358,39.99037915163358,0.0,0.0,1e-12,True
Nofi_100GHz,S5_8,101.82341383758153,101.82341383758153,0.0,0.0,1e-12,True
Nofi_100GHz,S9_16,72.03613268960181,72.03613268960181,0.0,0.0,1e-12,True
Nofi_100GHz,S17_32,9.452869067455378,9.452869067455378,0.0,0.0,1e-12,True
Nofi_100GHz,S33_64,0.0235984728283664,0.023598865229591093,3.9240122469419436e-07,1.6628246562739895e-05,0.0001,True
Nofi_143GHz,S2_4,38.454711642027405,38.454711642027405,0.0,0.0,1e-12,True
Nofi_143GHz,S5_8,99.91639446003003,99.91639446003003,0.0,0.0,1e-12,True
Nofi_143GHz,S9_16,72.0678364484452,72.0678364484452,0.0,0.0,1e-12,True
Nofi_143GHz,S17_32,9.35890211863283,9.35890211863283,0.0,0.0,1e-12,True
Nofi_143GHz,S33_64,0.0235108446898558,0.023511139525354646,2.948354988450974e-07,1.2540404342524952e-05,0.0001,True
PR4_Sevem,S2_4,35.146200437126296,35.146200437126296,0.0,0.0,1e-12,True
PR4_Sevem,S5_8,95.98381309591896,95.98381309591895,-1.4210854715202004e-14,1.4805470065041853e-16,1e-12,True
PR4_Sevem,S9_16,78.91116032930192,78.91116032930192,0.0,0.0,1e-12,True
PR4_Sevem,S17_32,10.57402480436917,10.57402480436917,0.0,0.0,1e-12,True
PR4_Sevem,S33_64,0.030734006947344,0.030734080301684244,7.335434024438592e-08,2.386748345897837e-06,0.0001,True
PR4_Commander,S2_4,39.94272433049464,39.94272433049464,0.0,0.0,1e-12,True
PR4_Commander,S5_8,94.00953012456958,94.00953012456958,0.0,0.0,1e-12,True
PR4_Commander,S9_16,74.88896515269752,74.88896515269752,0.0,0.0,1e-12,True
PR4_Commander,S17_32,9.888742924559256,9.888742924559256,0.0,0.0,1e-12,True
PR4_Commander,S33_64,0.0255651825788093,0.025565175975482496,-6.603326805493248e-09,2.5829374717498293e-07,0.0001,True
