tag,case,nside,route,A_exact,estimate,estimate_over_A,A_over_estimate,is_historical_route,error_rel
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),0,A_exact_harmonic,173.76623912676519,173.76623912676519,1.0,1.0,False,0.0
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),8,B_true_axis_exact_R,173.76623912676519,173.18200237804936,0.9966378005782262,1.0033735419425425,False,0.003362199421773837
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),8,C_true_axis_snapped_R,173.76623912676519,173.18200237804936,0.9966378005782262,1.0033735419425425,False,0.003362199421773837
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),8,D_rounded_axis_correct_conj,173.76623912676519,159.5015917281216,0.9179089823758153,1.0894326335185318,False,0.0820910176241847
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),8,E_v01_historic,173.76623912676519,159.50159173509914,0.91790898241597,1.0894326334708737,True,0.08209101758403002
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),16,B_true_axis_exact_R,173.76623912676519,173.62190461337596,0.9991693753970015,1.0008313151137849,False,0.0008306246029985768
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),16,C_true_axis_snapped_R,173.76623912676519,173.62190461337596,0.9991693753970015,1.0008313151137849,False,0.0008306246029985768
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),16,D_rounded_axis_correct_conj,173.76623912676519,170.2085900486338,0.9795262353837558,1.0209017011251598,False,0.020473764616244183
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),16,E_v01_historic,173.76623912676519,170.20859005163814,0.9795262354010454,1.02090170110714,True,0.020473764598954603
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),32,B_true_axis_exact_R,173.76623912676519,173.73021881892103,0.9997927082497431,1.000207334729036,False,0.00020729175025694695
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),32,C_true_axis_snapped_R,173.76623912676519,173.730218818921,0.9997927082497429,1.000207334729036,False,0.0002072917502571105
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),32,D_rounded_axis_correct_conj,173.76623912676519,172.825477540371,0.9945860508282746,1.0054434195685902,False,0.005413949171725402
E7_L1y1.0_g0,holonomy axis (E7 refl M_A),32,E_v01_historic,173.76623912676519,172.8254775405908,0.9945860508295395,1.0054434195673114,True,0.005413949170460407
E7_L1y1.0_g0,general axis (frozen),0,A_exact_harmonic,132.28146454611618,132.28146454611618,1.0,1.0,False,0.0
E7_L1y1.0_g0,general axis (frozen),8,B_true_axis_exact_R,132.28146454611618,132.4639284099835,1.0013793607781212,0.9986225392372285,False,0.0013793607781210763
E7_L1y1.0_g0,general axis (frozen),8,C_true_axis_snapped_R,132.28146454611618,131.6326650800307,0.9950953108335198,1.0049288637109264,False,0.004904689166480256
E7_L1y1.0_g0,general axis (frozen),8,D_rounded_axis_correct_conj,132.28146454611618,119.66286160992888,0.9046079284086835,1.105451288448381,False,0.09539207159131644
E7_L1y1.0_g0,general axis (frozen),8,E_v01_historic,132.28146454611618,119.66286160992888,0.9046079284086835,1.105451288448381,True,0.09539207159131644
E7_L1y1.0_g0,general axis (frozen),16,B_true_axis_exact_R,132.28146454611618,132.32656162191583,1.0003409175726499,0.9996591986125318,False,0.00034091757264997636
E7_L1y1.0_g0,general axis (frozen),16,C_true_axis_snapped_R,132.28146454611618,132.33342609447595,1.0003928105009878,0.9996073437385149,False,0.00039281050098788014
E7_L1y1.0_g0,general axis (frozen),16,D_rounded_axis_correct_conj,132.28146454611618,127.17042303521794,0.9613623758367414,1.040190489179098,False,0.03863762416325854
E7_L1y1.0_g0,general axis (frozen),16,E_v01_historic,132.28146454611618,127.17042303521794,0.9613623758367414,1.040190489179098,True,0.03863762416325854
E7_L1y1.0_g0,general axis (frozen),32,B_true_axis_exact_R,132.28146454611618,132.2927195625011,1.0000850838507387,0.9999149233879072,False,8.50838507385769e-05
E7_L1y1.0_g0,general axis (frozen),32,C_true_axis_snapped_R,132.28146454611618,132.07122497489823,0.9984106649261911,1.0015918650808147,False,0.0015893350738089256
E7_L1y1.0_g0,general axis (frozen),32,D_rounded_axis_correct_conj,132.28146454611618,131.55579728560937,0.9945142181257464,1.0055160416756959,False,0.0054857818742536455
E7_L1y1.0_g0,general axis (frozen),32,E_v01_historic,132.28146454611618,131.55579728560937,0.9945142181257464,1.0055160416756959,True,0.0054857818742536455
