shape,coset,n_enum,n_box,equal,no_duplicates,max_residual,set_hash
74,id,2,2,True,True,0.0,5935d51a26124b66
74,glide_A,2,2,True,True,0.0,dedc883bc6513b6b
74,glide_B,2,2,True,True,0.0,a3a6ffdc3d3297fe
74,AB,2,2,True,True,0.0,6ffb04f173befa95
75,id,6,6,True,True,0.0,e6b56cc7c7203596
75,glide_A,8,8,True,True,1.1102230246251565e-16,3a53fbb15142afc4
75,glide_B,8,8,True,True,0.0,bad1122e46a5a3a1
75,AB,8,8,True,True,0.0,866f19eec52eb2cc
76,id,0,0,True,True,0.0,4f53cda18c2baa0c
76,glide_A,2,2,True,True,0.0,5486682536985519
76,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
76,AB,0,0,True,True,0.0,4f53cda18c2baa0c
77,id,4,4,True,True,0.0,3563c14f12c59414
77,glide_A,6,6,True,True,1.1102230246251565e-16,992039b8a990717c
77,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
77,AB,0,0,True,True,0.0,4f53cda18c2baa0c
78,id,0,0,True,True,0.0,4f53cda18c2baa0c
78,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
78,glide_B,2,2,True,True,0.0,3a618105ed44817b
78,AB,0,0,True,True,0.0,4f53cda18c2baa0c
79,id,4,4,True,True,0.0,5db6173b63b97226
79,glide_A,2,2,True,True,0.0,dedc883bc6513b6b
79,glide_B,2,2,True,True,1.1102230246251565e-16,a3a6ffdc3d3297fe
79,AB,6,6,True,True,0.0,8e2631a6d9b2804f
80,id,2,2,True,True,0.0,5935d51a26124b66
80,glide_A,4,4,True,True,0.0,42564929b0b01a87
80,glide_B,4,4,True,True,0.0,50c336a28d7695b9
80,AB,4,4,True,True,0.0,93193acdd8240748
81,id,2,2,True,True,0.0,5935d51a26124b66
81,glide_A,2,2,True,True,0.0,5486682536985519
81,glide_B,2,2,True,True,0.0,3a618105ed44817b
81,AB,0,0,True,True,0.0,4f53cda18c2baa0c
82,id,4,4,True,True,0.0,3563c14f12c59414
82,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
82,glide_B,6,6,True,True,0.0,688434f6cff3ed17
82,AB,0,0,True,True,0.0,4f53cda18c2baa0c
83,id,2,2,True,True,0.0,11aea7a42c4c9aa0
83,glide_A,4,4,True,True,0.0,42564929b0b01a87
83,glide_B,2,2,True,True,0.0,3a618105ed44817b
83,AB,0,0,True,True,0.0,4f53cda18c2baa0c
84,id,4,4,True,True,0.0,3563c14f12c59414
84,glide_A,8,8,True,True,0.0,b97a87a597fd15bd
84,glide_B,6,6,True,True,1.1102230246251565e-16,688434f6cff3ed17
84,AB,0,0,True,True,0.0,4f53cda18c2baa0c
85,id,10,10,True,True,0.0,b5ca053a5b9b9325
85,glide_A,16,16,True,True,0.0,d1adb9c5d75d8097
85,glide_B,10,10,True,True,0.0,d1066deecf7a334c
85,AB,8,8,True,True,1.1102230246251565e-16,155859527e0d677f
86,id,2,2,True,True,0.0,5935d51a26124b66
86,glide_A,4,4,True,True,0.0,42564929b0b01a87
86,glide_B,2,2,True,True,0.0,3a618105ed44817b
86,AB,2,2,True,True,0.0,6ffb04f173befa95
87,id,0,0,True,True,0.0,4f53cda18c2baa0c
87,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
87,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
87,AB,0,0,True,True,0.0,4f53cda18c2baa0c
88,id,2,2,True,True,0.0,5935d51a26124b66
88,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
88,glide_B,2,2,True,True,0.0,3a618105ed44817b
88,AB,0,0,True,True,0.0,4f53cda18c2baa0c
89,id,8,8,True,True,0.0,105930e5b44d9bc5
89,glide_A,8,8,True,True,0.0,63fff364a2fdfb5a
89,glide_B,6,6,True,True,0.0,688434f6cff3ed17
89,AB,6,6,True,True,0.0,ba2811ad1c5c8987
90,id,8,8,True,True,0.0,105930e5b44d9bc5
90,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
90,glide_B,6,6,True,True,0.0,688434f6cff3ed17
90,AB,6,6,True,True,0.0,8e2631a6d9b2804f
91,id,2,2,True,True,0.0,5935d51a26124b66
91,glide_A,4,4,True,True,0.0,42564929b0b01a87
91,glide_B,2,2,True,True,0.0,3a618105ed44817b
91,AB,2,2,True,True,0.0,3a618105ed44817b
92,id,4,4,True,True,0.0,5db6173b63b97226
92,glide_A,2,2,True,True,0.0,dedc883bc6513b6b
92,glide_B,4,4,True,True,0.0,50c336a28d7695b9
92,AB,4,4,True,True,0.0,93193acdd8240748
93,id,4,4,True,True,0.0,d7c5d3db2f464e3d
93,glide_A,8,8,True,True,0.0,ab54611e99a9c9c3
93,glide_B,4,4,True,True,0.0,50c336a28d7695b9
93,AB,4,4,True,True,0.0,18204e340b50d7cf
94,id,2,2,True,True,0.0,5935d51a26124b66
94,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
94,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
94,AB,0,0,True,True,0.0,4f53cda18c2baa0c
95,id,16,16,True,True,0.0,ba7f6323a0de9f6a
95,glide_A,16,16,True,True,0.0,07fd86b3f9f13b0d
95,glide_B,6,6,True,True,0.0,688434f6cff3ed17
95,AB,10,10,True,True,0.0,af791470602a8449
96,id,10,10,True,True,1.1102230246251565e-16,b5ca053a5b9b9325
96,glide_A,16,16,True,True,1.1102230246251565e-16,d1adb9c5d75d8097
96,glide_B,16,16,True,True,1.1102230246251565e-16,b2fbd774e787dbc1
96,AB,10,10,True,True,0.0,9061386ffb0ad880
97,id,2,2,True,True,0.0,5935d51a26124b66
97,glide_A,4,4,True,True,0.0,42564929b0b01a87
97,glide_B,2,2,True,True,0.0,3a618105ed44817b
97,AB,2,2,True,True,0.0,3a618105ed44817b
98,id,4,4,True,True,0.0,5db6173b63b97226
98,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
98,glide_B,6,6,True,True,0.0,688434f6cff3ed17
98,AB,4,4,True,True,0.0,372d776a81ddb643
99,id,6,6,True,True,0.0,b6fac5b4c0c596c4
99,glide_A,8,8,True,True,0.0,fcec19b597205e8b
99,glide_B,6,6,True,True,1.1102230246251565e-16,688434f6cff3ed17
99,AB,8,8,True,True,1.1102230246251565e-16,20fbf52d44ca842a
100,id,8,8,True,True,0.0,105930e5b44d9bc5
100,glide_A,10,10,True,True,1.1102230246251565e-16,16a8c8f7fb7c9b92
100,glide_B,6,6,True,True,0.0,688434f6cff3ed17
100,AB,10,10,True,True,1.1102230246251565e-16,af791470602a8449
101,id,2,2,True,True,0.0,5935d51a26124b66
101,glide_A,2,2,True,True,0.0,5486682536985519
101,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
101,AB,0,0,True,True,0.0,4f53cda18c2baa0c
102,id,2,2,True,True,0.0,5935d51a26124b66
102,glide_A,0,0,True,True,0.0,4f53cda18c2baa0c
102,glide_B,0,0,True,True,0.0,4f53cda18c2baa0c
102,AB,2,2,True,True,0.0,6ffb04f173befa95
