family,shape,d_nearest,theta_nearest,g2_identity_ok,theta_ge_60,nearest_class,all_element_class,agree
E7,"{""LAx"": 0.8, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}",0.8572167798893062,137.8953776241729,True,True,excluded,excluded,True
E2,"{""Lx"": 1.3, ""Ly"": 1.3, ""Lz"": 0.7}",0.9319998718453677,97.36683149011502,True,True,excluded,excluded,True
E7,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.9, ""L2z"": 0.01}",0.13453624047073726,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9245397725916278, ""LAy"": 0.0, ""L1y"": 0.8773123987904075, ""L2x"": -0.594169241091782, ""L2z"": 0.22507885514446227}",0.4928971374029221,108.39418370122289,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8880109692011284, ""LAy"": 0.0, ""L1y"": 1.0681113953686445, ""L2x"": -0.47715338489535, ""L2z"": 0.3398205007943096}",0.5857929032321793,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9449261723312243, ""LAy"": 0.0, ""L1y"": 0.7236297036023476, ""L2x"": -0.13564491097486164, ""L2z"": 0.4840625851893814}",0.5027087907065135,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.3574683778293228, ""LAy"": 0.0, ""L1y"": 0.7091995493204023, ""L2x"": -0.31767475264051603, ""L2z"": 0.5279844286196619}",0.3669847308830137,153.84697816549425,True,True,excluded,excluded,True
E7,"{""LAx"": 0.786268037400031, ""LAy"": 0.0, ""L1y"": 0.9152307228649961, ""L2x"": 0.19960380348516682, ""L2z"": 0.9169748992774289}",0.7868349387971103,175.64983579961796,True,True,excluded,excluded,True
E7,"{""LAx"": 0.31639562020087203, ""LAy"": 0.0, ""L1y"": 0.8888314347589115, ""L2x"": 0.06730007800874438, ""L2z"": 1.036475114394807}",0.3971422516558793,105.62860825037853,True,True,excluded,excluded,True
E7,"{""LAx"": 1.1451263213064167, ""LAy"": 0.0, ""L1y"": 0.31154080662375666, ""L2x"": 0.5253252767837422, ""L2z"": 0.3786562797509925}",0.31154080662375666,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8622371907011419, ""LAy"": 0.0, ""L1y"": 0.9879765241664311, ""L2x"": 0.555193958432713, ""L2z"": 1.1346632085834398}",0.8734811770029441,161.59363697265198,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8712349026316464, ""LAy"": 0.0, ""L1y"": 1.0732876841874726, ""L2x"": -0.0036820225995898292, ""L2z"": 0.35669693455132223}",0.35671593797969575,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.44405206465468183, ""LAy"": 0.0, ""L1y"": 0.7480897004719566, ""L2x"": 0.39256544291551965, ""L2z"": 0.5942776112494661}",0.4509640757220529,159.9111470545877,True,True,excluded,excluded,True
E7,"{""LAx"": 0.913149817559878, ""LAy"": 0.0, ""L1y"": 0.41278390789779895, ""L2x"": 0.75473802251609, ""L2z"": 0.6212884429308093}",0.41278390789779895,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 1.0441526293843388, ""LAy"": 0.0, ""L1y"": 0.9560331179163517, ""L2x"": 0.4490933302912188, ""L2z"": 0.5215890621549967}",0.6882877080638493,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.39953951448424874, ""LAy"": 0.0, ""L1y"": 0.7097833100845354, ""L2x"": -0.26992860637839555, ""L2z"": 0.5384989293296475}",0.5171120292978645,101.18243662117936,True,True,excluded,excluded,True
E7,"{""LAx"": 1.1932009008874283, ""LAy"": 0.0, ""L1y"": 0.5781245826156829, ""L2x"": 0.4520172269039713, ""L2z"": 0.2829974315089534}",0.5332983401986369,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8343208740440602, ""LAy"": 0.0, ""L1y"": 0.6120382130131817, ""L2x"": -0.41219220568016957, ""L2z"": 0.5318894583587052}",0.6120382130131817,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 1.1408953388531322, ""LAy"": 0.0, ""L1y"": 0.8205233918629371, ""L2x"": 0.029080518563099345, ""L2z"": 0.9839554615224286}",0.8205233918629371,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.7533347294682418, ""LAy"": 0.0, ""L1y"": 0.4013610739550553, ""L2x"": -0.5901765218414913, ""L2z"": 0.8902888641960753}",0.4013610739550553,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.7201103451139489, ""LAy"": 0.0, ""L1y"": 0.4879482749689392, ""L2x"": 0.7470195559788801, ""L2z"": 0.39739010176181055}",0.438249439099046,130.69202460943964,True,True,excluded,excluded,True
E7,"{""LAx"": 1.004496365273797, ""LAy"": 0.0, ""L1y"": 0.5851612242741657, ""L2x"": 0.393856222016844, ""L2z"": 0.6801664300442889}",0.5851612242741657,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.33284000784722795, ""LAy"": 0.0, ""L1y"": 0.9415512467943228, ""L2x"": -0.33275474318847903, ""L2z"": 0.5778917189532732}",0.5765158399801547,70.52596341574166,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9423865589522233, ""LAy"": 0.0, ""L1y"": 1.1957617036372958, ""L2x"": -0.08479986454284028, ""L2z"": 0.8395532061850279}",0.8438249836559972,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.7370744071274365, ""LAy"": 0.0, ""L1y"": 0.8996057117369469, ""L2x"": -0.5456706599118217, ""L2z"": 1.1933638525684853}",0.7415834581569344,167.35698994586335,True,True,excluded,excluded,True
E7,"{""LAx"": 0.4295160696873797, ""LAy"": 0.0, ""L1y"": 0.9007760182667082, ""L2x"": -0.6945435268367535, ""L2z"": 0.19609420739633723}",0.2559481233161829,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 1.0863272720347474, ""LAy"": 0.0, ""L1y"": 0.9746835400971399, ""L2x"": -0.6458198237904551, ""L2z"": 0.40922593774109317}",0.7481914377011021,106.95377470803277,True,True,excluded,excluded,True
E7,"{""LAx"": 0.36315298412944785, ""LAy"": 0.0, ""L1y"": 1.1419861686980575, ""L2x"": 0.5545680606519217, ""L2z"": 0.9544478400038254}",0.6128890754219036,72.672996038765,True,True,excluded,excluded,True
E7,"{""LAx"": 0.928593868834658, ""LAy"": 0.0, ""L1y"": 0.9051790255050312, ""L2x"": -0.7474970787843571, ""L2z"": 0.16223796700844556}",0.48628059926571704,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.5708118585749017, ""LAy"": 0.0, ""L1y"": 0.8192817720004457, ""L2x"": 0.5267105997863586, ""L2z"": 0.5869755484365461}",0.6215132058933944,133.39315009236418,True,True,excluded,excluded,True
E7,"{""LAx"": 0.5242676217272446, ""LAy"": 0.0, ""L1y"": 0.8709808644669765, ""L2x"": 0.7230044673883724, ""L2z"": 0.634004584525794}",0.5390512249792335,153.10073970963185,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8059073378060024, ""LAy"": 0.0, ""L1y"": 0.560908610691071, ""L2x"": 0.40555724108050795, ""L2z"": 0.2609055135886035}",0.4822326853436691,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9026065448137865, ""LAy"": 0.0, ""L1y"": 0.4967087402925811, ""L2x"": 0.2806625156142759, ""L2z"": 0.652195314968143}",0.4967087402925811,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 1.0424221136876775, ""LAy"": 0.0, ""L1y"": 0.8097890673619668, ""L2x"": 0.6514250368036072, ""L2z"": 0.5959582501411697}",0.719345499990856,164.4973959021223,True,True,excluded,excluded,True
E7,"{""LAx"": 0.3135805374530455, ""LAy"": 0.0, ""L1y"": 1.1777246870078923, ""L2x"": 0.4298684791621772, ""L2z"": 1.0046696370172232}",0.6128731368856483,61.5484658875466,True,True,excluded,excluded,True
