map,axis_pix,l,b,S_min,S_med,width5,vectorised_max_absdiff,vectorised_argmin_same,axis_pix_ref,S_min_ref,S_med_ref,width5_ref,rel_S_min,rel_S_med
PR3_Commander,1134,81.56249999999999,14.477512185929925,170.31724548339844,469.493896484375,0.0006510416666666666,0.0,True,1134.0,170.31724548339844,469.493896484375,0.0006510416666666,0.0,0.0
PR3_NILC,1134,81.56249999999999,14.477512185929925,170.9844970703125,471.45166015625,0.0006510416666666666,0.0,True,1134.0,170.9844970703125,471.45166015625,0.0006510416666666,0.0,0.0
PR3_SEVEM,1134,81.56249999999999,14.477512185929925,170.71502685546875,465.73089599609375,0.0006510416666666666,0.0,True,1134.0,170.71502685546875,465.73089599609375,0.0006510416666666,0.0,0.0
PR3_SMICA,1134,81.56249999999999,14.477512185929925,171.2122344970703,470.40325927734375,0.0006510416666666666,0.0,True,1134.0,171.2122344970703,470.40325927734375,0.0006510416666666,0.0,0.0
Nofi_70GHz,1134,81.56249999999999,14.477512185929925,174.82034301757812,461.8994140625,0.0006510416666666666,0.0,True,1134.0,174.82034301757812,461.8994140625,0.0006510416666666,0.0,0.0
Nofi_94GHz,1134,81.56249999999999,14.477512185929925,176.44775390625,462.9458312988281,0.0006510416666666666,0.0,True,1134.0,176.44775390625,462.9458312988281,0.0006510416666666,0.0,0.0
Nofi_100GHz,1134,81.56249999999999,14.477512185929925,175.17147827148438,464.76422119140625,0.0006510416666666666,0.0,True,1134.0,175.17147827148438,464.7642211914063,0.0006510416666666,0.0,1.2230592689577515e-16
Nofi_143GHz,1134,81.56249999999999,14.477512185929925,172.6165313720703,460.81842041015625,0.0006510416666666666,0.0,True,1134.0,172.6165313720703,460.81842041015625,0.0006510416666666,0.0,0.0
PR4_Sevem,1134,81.56249999999999,14.477512185929925,170.57318115234375,469.9615783691406,0.0006510416666666666,0.0,True,,,,,,
PR4_Commander,1134,81.56249999999999,14.477512185929925,170.23023986816406,473.119873046875,0.0006510416666666666,0.0,True,,,,,,
