map,selection_band,axis_pix,sep_from_1134_deg,S_min,S_at_1134
PR3_Commander,full,1134,0.0,170.31724548339844,170.31724548339844
PR3_Commander,l32,1134,0.0,170.2958526611328,170.2958526611328
PR3_Commander,l24,1134,0.0,169.92181396484375,169.92181396484375
PR3_Commander,l16,1134,0.0,162.14181518554688,162.14181518554688
PR3_Commander,l8,1006,4.993708448560786,99.33944702148438,105.61345672607422
PR3_Commander,l2_4,2062,4.993708448560786,36.40069580078125,39.67178726196289
PR3_NILC,full,1134,0.0,170.9844970703125,170.9844970703125
PR3_NILC,l32,1134,0.0,170.9742431640625,170.9742431640625
PR3_NILC,l24,1134,0.0,170.46961975097656,170.46961975097656
PR3_NILC,l16,1134,0.0,161.72525024414062,161.72525024414062
PR3_NILC,l8,1071,3.6714833203287065,102.5217056274414,107.79229736328125
PR3_NILC,l2_4,1134,0.0,43.62812805175781,43.62812805175781
PR3_SEVEM,full,1134,0.0,170.71502685546875,170.71502685546875
PR3_SEVEM,l32,1134,0.0,170.638671875,170.638671875
PR3_SEVEM,l24,1134,0.0,170.9658660888672,170.9658660888672
PR3_SEVEM,l16,1134,0.0,162.4412384033203,162.4412384033203
PR3_SEVEM,l8,1071,3.6714833203287065,101.01177978515625,102.6050796508789
PR3_SEVEM,l2_4,1070,3.671483320328608,32.330867767333984,35.53177261352539
PR3_SMICA,full,1134,0.0,171.2122344970703,171.2122344970703
PR3_SMICA,l32,1134,0.0,171.20025634765625,171.20025634765625
PR3_SMICA,l24,1134,0.0,170.6696319580078,170.6696319580078
PR3_SMICA,l16,1134,0.0,161.82814025878906,161.82814025878906
PR3_SMICA,l8,1071,3.6714833203287065,101.7064437866211,107.83760833740234
PR3_SMICA,l2_4,1071,3.6714833203287065,42.503257751464844,43.523616790771484
Nofi_70GHz,full,1134,0.0,174.82034301757812,174.82034301757812
Nofi_70GHz,l32,1134,0.0,174.79586791992188,174.79586791992188
Nofi_70GHz,l24,1134,0.0,174.48582458496094,174.48582458496094
Nofi_70GHz,l16,1134,0.0,165.2472686767578,165.2472686767578
Nofi_70GHz,l8,1006,4.993708448560786,101.05980682373047,112.12030792236328
Nofi_70GHz,l2_4,2062,4.993708448560786,36.477291107177734,42.49647521972656
Nofi_94GHz,full,1134,0.0,176.44775390625,176.44775390625
Nofi_94GHz,l32,1134,0.0,176.39797973632812,176.39797973632812
Nofi_94GHz,l24,1134,0.0,176.33059692382812,176.33059692382812
Nofi_94GHz,l16,1134,0.0,167.16354370117188,167.16354370117188
Nofi_94GHz,l8,1006,4.993708448560786,100.15794372558594,110.3874282836914
Nofi_94GHz,l2_4,2062,4.993708448560786,33.299720764160156,39.92750549316406
Nofi_100GHz,full,1134,0.0,175.17147827148438,175.17147827148438
Nofi_100GHz,l32,1134,0.0,175.15370178222656,175.15370178222656
Nofi_100GHz,l24,1134,0.0,174.8010711669922,174.8010711669922
Nofi_100GHz,l16,1134,0.0,165.76516723632812,165.76516723632812
Nofi_100GHz,l8,1006,4.993708448560786,101.6378173828125,110.7118911743164
Nofi_100GHz,l2_4,2062,4.993708448560786,35.39543151855469,39.990379333496094
Nofi_143GHz,full,1134,0.0,172.6165313720703,172.6165313720703
Nofi_143GHz,l32,1134,0.0,172.59779357910156,172.59779357910156
Nofi_143GHz,l24,1134,0.0,172.29302978515625,172.29302978515625
Nofi_143GHz,l16,1134,0.0,163.3307647705078,163.3307647705078
Nofi_143GHz,l8,1006,4.993708448560786,101.49127197265625,108.00910949707031
Nofi_143GHz,l2_4,2062,4.993708448560786,34.69305419921875,38.4547119140625
PR4_Sevem,full,1134,0.0,170.57318115234375,170.57318115234375
PR4_Sevem,l32,1134,0.0,170.480712890625,170.480712890625
PR4_Sevem,l24,1134,0.0,170.92251586914062,170.92251586914062
PR4_Sevem,l16,1134,0.0,162.9363250732422,162.9363250732422
PR4_Sevem,l8,1071,3.6714833203287065,101.5431137084961,103.00862121582031
PR4_Sevem,l2_4,1070,3.671483320328608,32.67106628417969,35.14619827270508
PR4_Commander,full,1134,0.0,170.23023986816406,170.23023986816406
PR4_Commander,l32,1134,0.0,170.1932830810547,170.1932830810547
PR4_Commander,l24,1134,0.0,169.77891540527344,169.77891540527344
PR4_Commander,l16,1134,0.0,161.8693084716797,161.8693084716797
PR4_Commander,l8,1071,3.6714833203287065,99.0239486694336,102.71276092529297
PR4_Commander,l2_4,1134,0.0,39.942726135253906,39.942726135253906
